n,k,r2_mean,r2_std,coef_log(dist)_mean,coef_log(dist)_std,coef_dist^2_mean,coef_dist^2_std,coef_4cos(4theta)_mean,coef_4cos(4theta)_std,coef_invdeg_mean,coef_invdeg_std,intercept_mean,intercept_std
512,5,0.199,0.024,2.205,0.115,-2.794,0.306,-1.005,0.39,3.132,0.136,5.526,0.323
512,6,0.334,0.027,0.819,0.027,-1.327,0.08,-0.563,0.109,2.47,0.079,1.915,0.07
512,8,0.663,0.021,0.258,0.004,-0.385,0.023,-0.133,0.029,1.817,0.046,0.545,0.015
512,10,0.813,0.012,0.136,0.002,-0.213,0.009,-0.088,0.009,1.562,0.033,0.27,0.008
512,12,0.871,0.009,0.083,0.001,-0.127,0.004,-0.054,0.005,1.401,0.043,0.16,0.007
512,16,0.935,0.005,0.041,0.0,-0.06,0.002,-0.025,0.002,1.224,0.007,0.079,0.001
512,20,0.962,0.001,0.024,0.0,-0.037,0.001,-0.015,0.001,1.16,0.004,0.046,0.001
1024,5,0.207,0.024,2.326,0.11,-3.237,0.468,-1.374,0.627,3.254,0.104,6.545,0.341
1024,6,0.343,0.018,0.82,0.019,-1.363,0.088,-0.615,0.108,2.65,0.052,2.153,0.051
1024,8,0.673,0.012,0.269,0.004,-0.454,0.019,-0.192,0.02,1.826,0.026,0.657,0.012
1024,10,0.786,0.017,0.136,0.002,-0.226,0.007,-0.108,0.007,1.544,0.031,0.321,0.008
1024,12,0.853,0.026,0.085,0.001,-0.142,0.005,-0.066,0.007,1.423,0.051,0.19,0.009
1024,16,0.933,0.002,0.042,0.0,-0.068,0.002,-0.033,0.002,1.241,0.009,0.094,0.001
1024,20,0.958,0.001,0.025,0.0,-0.039,0.001,-0.017,0.001,1.178,0.005,0.053,0.001
2048,5,0.232,0.01,2.653,0.069,-3.715,0.331,-1.409,0.504,3.478,0.077,8.144,0.214
2048,6,0.359,0.038,0.878,0.024,-1.61,0.108,-0.808,0.149,2.595,0.042,2.598,0.067
2048,8,0.673,0.011,0.261,0.004,-0.396,0.021,-0.135,0.024,1.892,0.023,0.717,0.01
2048,10,0.806,0.01,0.136,0.001,-0.217,0.007,-0.098,0.008,1.552,0.018,0.368,0.004
2048,12,0.877,0.004,0.084,0.001,-0.139,0.004,-0.067,0.004,1.41,0.016,0.221,0.003
2048,16,0.938,0.002,0.042,0.0,-0.067,0.001,-0.031,0.001,1.243,0.005,0.108,0.001
2048,20,0.961,0.001,0.025,0.0,-0.039,0.001,-0.017,0.001,1.178,0.004,0.062,0.0
4096,5,0.198,0.021,3.151,0.095,-3.314,0.43,-0.651,0.515,3.627,0.105,10.774,0.327
4096,6,0.372,0.01,0.869,0.012,-1.481,0.066,-0.753,0.102,2.588,0.037,2.901,0.036
4096,8,0.647,0.015,0.273,0.003,-0.494,0.021,-0.291,0.028,1.919,0.023,0.834,0.01
4096,10,0.796,0.015,0.137,0.001,-0.232,0.009,-0.112,0.012,1.566,0.012,0.416,0.004
4096,12,0.853,0.03,0.084,0.0,-0.136,0.002,-0.066,0.003,1.408,0.018,0.251,0.003
4096,16,0.936,0.002,0.041,0.0,-0.066,0.001,-0.031,0.002,1.257,0.006,0.12,0.001
4096,20,0.958,0.001,0.025,0.0,-0.039,0.001,-0.018,0.001,1.188,0.004,0.07,0.0
8192,5,0.207,0.016,3.18,0.087,-3.591,0.485,-0.072,0.589,3.775,0.114,11.883,0.298
8192,6,0.358,0.011,0.861,0.012,-1.569,0.094,-0.781,0.139,2.659,0.043,3.178,0.042
8192,8,0.66,0.01,0.263,0.003,-0.43,0.022,-0.193,0.03,1.896,0.02,0.911,0.009
8192,10,0.81,0.01,0.136,0.001,-0.22,0.006,-0.098,0.008,1.557,0.012,0.461,0.004
8192,12,0.884,0.002,0.084,0.0,-0.136,0.003,-0.062,0.005,1.404,0.01,0.28,0.002
8192,16,0.939,0.001,0.042,0.0,-0.068,0.001,-0.032,0.001,1.256,0.005,0.135,0.001
8192,20,0.96,0.001,0.025,0.0,-0.041,0.001,-0.018,0.001,1.189,0.003,0.079,0.0
